Время доставки,Дата доставки,Магазин,Id заявки,Id клиента,Сумма скидки,Тип оплаты,Сумма заказа,Итоговая сумма,Пол клиента,Дата рождения клиента,Продукт категория,Наименование продукта,проверка суммы,Координаты
17:54:48,2024-01-05 00:00:00,"Ул. Декабристов, 15",1579,491,"224,514",Наличные,"748,38","523,866",Мужской,01-12-1990,Комиксы,Человек-Паук,TRUE,"[59.928154, 30.302429]"
00:16:44,2024-01-05 00:00:00,"Невский пр., 30",1639,491,"209,991",Наличные,"699,97","489,979",Мужской,01-12-1990,Научная литература,Квантовая физика,TRUE,"[59.935543, 30.327349]"
12:31:25,2024-01-05 00:00:00,"Ул. Рубинштейна, 24",2367,346,"42,27",Карта,"578,34","536,07",Женский,11-06-2000,Путеводители,Мексика,TRUE,"[59.929700, 30.344695]"
12:07:49,2024-01-05 00:00:00,"Гагаринская ул., 12",7370,407,"185,079",Онлайн,"616,93","431,851",Женский,11-05-1984,Художественная литература,Обломов,TRUE,"[59.946153, 30.342916]"
17:38:48,2024-01-05 00:00:00,"Ул. Декабристов, 15",8838,304,"260,925",Карта,"869,75","608,825",Женский,25-08-2006,Путеводители,Швейцария,TRUE,"[59.928154, 30.302429]"
18:26:32,2024-01-05 00:00:00,"Невский пр., 30",9383,338,"240,129",Наличные,"800,43","560,301",Мужской,21-08-1983,Путеводители,Мексика,TRUE,"[59.935543, 30.327349]"
16:28:23,2024-01-05 00:00:00,"Невский пр., 30",9788,259,"73,81",Онлайн,"510,33","436,52",Мужской,10-10-1974,Художественная литература,Мастер и Маргарита,TRUE,"[59.935543, 30.327349]"
21:17:28,2024-01-06 00:00:00,"Гагаринская ул., 12",2630,40,"211,812",Карта,"706,04","494,228",Мужской,08-07-1979,Научная литература,Квантовая физика,TRUE,"[59.946153, 30.342916]"
05:11:00,2024-01-06 00:00:00,"Ул. Рубинштейна, 24",2790,306,"155,427",Онлайн,"518,09","362,663",Мужской,05-01-1961,Научная литература,Микробиология,TRUE,"[59.929700, 30.344695]"
05:43:18,2024-01-06 00:00:00,"Московский пр., 90",3131,76,"64,8",Карта,"647,95","583,15",Женский,19-01-1958,Научная литература,Философия науки,TRUE,"[59.924032, 30.317189]"
14:41:07,2024-01-06 00:00:00,"Ул. Рубинштейна, 24",7050,148,"346,479",Наличные,"1154,93","808,451",Мужской,29-06-1967,Художественная литература,Мастер и Маргарита,TRUE,"[59.929700, 30.344695]"
20:14:55,2024-01-06 00:00:00,"Московский пр., 90",7122,430,"38,88",Карта,"570,64","531,76",Мужской,07-07-1980,Учебники,Алгебра 7 класс,TRUE,"[59.924032, 30.317189]"
17:41:21,2024-01-06 00:00:00,"Ул. Декабристов, 15",7201,352,"101,37",Карта,"549,07","447,7",Женский,19-08-1980,Путеводители,Мексика,TRUE,"[59.928154, 30.302429]"
00:00:40,2024-01-06 00:00:00,"Ул. Декабристов, 15",8197,79,"80,92",Карта,"606,44","525,52",Женский,21-03-2005,Путеводители,Италия,TRUE,"[59.928154, 30.302429]"
07:37:46,2024-01-07 00:00:00,"Невский пр., 30",2398,237,"218,64",Онлайн,"856,72","638,08",Женский,25-01-1974,Комиксы,Супермен,TRUE,"[59.935543, 30.327349]"
07:24:42,2024-01-07 00:00:00,"Московский пр., 90",3334,354,"158,41",Наличные,"600,59","442,18",Мужской,04-10-1989,Комиксы,Бэтмен,TRUE,"[59.924032, 30.317189]"
23:07:48,2024-01-07 00:00:00,"Невский пр., 30",4618,112,"101,54",Карта,"1060,35","958,81",Мужской,04-06-1985,Учебники,История России 10 класс,TRUE,"[59.935543, 30.327349]"
10:46:26,2024-01-07 00:00:00,"Ул. Декабристов, 15",6884,374,"87,46",Наличные,729,"641,54",Мужской,28-06-1975,Учебники,География 6 класс,TRUE,"[59.928154, 30.302429]"
16:21:09,2024-01-07 00:00:00,"Ул. Декабристов, 15",8395,139,"240,195",Карта,"800,65","560,455",Мужской,22-08-1989,Учебники,История России 10 класс,TRUE,"[59.928154, 30.302429]"
04:03:56,2024-01-07 00:00:00,"Гагаринская ул., 12",9566,33,115,Онлайн,"731,94","616,94",Мужской,27-11-1995,Художественная литература,Лолита,TRUE,"[59.946153, 30.342916]"
06:51:27,2024-01-07 00:00:00,"Невский пр., 30",9693,18,"167,571",Карта,"558,57","390,999",Женский,27-04-1959,Учебники,География 6 класс,TRUE,"[59.935543, 30.327349]"
06:04:06,2024-01-08 00:00:00,"Ул. Декабристов, 15",1024,491,"115,19",Наличные,"788,75","673,56",Мужской,01-12-1990,Художественная литература,Отцы и дети,TRUE,"[59.928154, 30.302429]"
20:26:20,2024-01-08 00:00:00,"Московский пр., 90",2765,408,"131,55",Наличные,"1177,86","1046,31",Мужской,07-02-1961,Научная литература,Экономика труда,TRUE,"[59.924032, 30.317189]"
08:03:24,2024-01-08 00:00:00,"Ул. Рубинштейна, 24",4179,326,"257,016",Наличные,"856,72","599,704",Мужской,31-10-1962,Комиксы,Супермен,TRUE,"[59.929700, 30.344695]"
10:11:02,2024-01-08 00:00:00,"Невский пр., 30",4226,487,"62,04",Онлайн,"555,51","493,47",Женский,20-07-1997,Учебники,Алгебра 7 класс,TRUE,"[59.935543, 30.327349]"
04:26:12,2024-01-08 00:00:00,"Гагаринская ул., 12",6314,413,"102,69",Карта,"684,58","581,89",Женский,17-05-1994,Научная литература,Палеонтология,TRUE,"[59.946153, 30.342916]"
12:07:35,2024-01-08 00:00:00,"Московский пр., 90",6440,171,"220,488",Наличные,"734,96","514,472",Мужской,24-04-1985,Комиксы,Человек-Паук,TRUE,"[59.924032, 30.317189]"
03:51:59,2024-01-08 00:00:00,"Ул. Декабристов, 15",8023,129,"171,192",Онлайн,"570,64","399,448",Мужской,25-08-2006,Учебники,Алгебра 7 класс,TRUE,"[59.928154, 30.302429]"
14:00:41,2024-01-08 00:00:00,"Ул. Декабристов, 15",8300,244,"162,063",Наличные,"540,21","378,147",Женский,18-05-1970,Учебники,Физика 8 класс,TRUE,"[59.928154, 30.302429]"
12:21:31,2024-01-08 00:00:00,"Московский пр., 90",8377,350,"182,325",Онлайн,"607,75","425,425",Мужской,16-05-1983,Комиксы,Человек-Паук,TRUE,"[59.924032, 30.317189]"
18:17:31,2024-01-08 00:00:00,"Московский пр., 90",8979,483,"41,33",Наличные,"540,71","499,38",Женский,28-03-1957,Научная литература,Экономика труда,TRUE,"[59.924032, 30.317189]"
03:43:19,2024-01-08 00:00:00,"Ул. Декабристов, 15",9105,153,"107,21",Наличные,"714,73","607,52",Мужской,21-12-1999,Учебники,История России 10 класс,TRUE,"[59.928154, 30.302429]"
11:37:36,2024-01-09 00:00:00,"Ул. Рубинштейна, 24",2387,430,"204,54",Онлайн,"705,01","500,47",Мужской,07-07-1980,Учебники,География 6 класс,TRUE,"[59.929700, 30.344695]"
19:09:59,2024-01-09 00:00:00,"Ул. Декабристов, 15",2416,295,"162,213",Карта,"540,71","378,497",Женский,24-05-2000,Научная литература,Экономика труда,TRUE,"[59.928154, 30.302429]"
06:30:08,2024-01-09 00:00:00,"Ул. Рубинштейна, 24",3566,456,"152,274",Наличные,"507,58","355,306",Женский,13-05-1991,Комиксы,Человек-Паук,TRUE,"[59.929700, 30.344695]"
00:12:44,2024-01-09 00:00:00,"Ул. Рубинштейна, 24",3851,254,"30,44",Карта,"567,18","536,74",Мужской,09-05-1975,Учебники,Алгебра 7 класс,TRUE,"[59.929700, 30.344695]"
02:47:27,2024-01-09 00:00:00,"Невский пр., 30",5568,473,"119,18",Наличные,"528,88","409,7",Мужской,23-09-1954,Комиксы,Человек-Паук,TRUE,"[59.935543, 30.327349]"
03:46:05,2024-01-09 00:00:00,"Невский пр., 30",6193,389,"25,12",Карта,"502,45","477,33",Мужской,13-02-1984,Учебники,Физика 8 класс,TRUE,"[59.935543, 30.327349]"
02:50:43,2024-01-09 00:00:00,"Московский пр., 90",6253,460,"210,048",Наличные,"700,16","490,112",Мужской,23-11-1981,Комиксы,Доктор Стрэндж,TRUE,"[59.924032, 30.317189]"
14:40:12,2024-01-09 00:00:00,"Ул. Рубинштейна, 24",6768,5,"248,25",Карта,"827,5","579,25",Мужской,30-03-1955,Художественная литература,Мастер и Маргарита,TRUE,"[59.929700, 30.344695]"
01:15:54,2024-01-09 00:00:00,"Ул. Декабристов, 15",7487,439,"186,015",Карта,"620,05","434,035",Мужской,19-08-1959,Научная литература,Микробиология,TRUE,"[59.928154, 30.302429]"
21:38:52,2024-01-09 00:00:00,"Московский пр., 90",7535,410,"211,812",Наличные,"706,04","494,228",Женский,11-11-1988,Научная литература,Квантовая физика,TRUE,"[59.924032, 30.317189]"
11:56:13,2024-01-09 00:00:00,"Ул. Рубинштейна, 24",7600,350,"152,976",Онлайн,"509,92","356,944",Мужской,16-05-1983,Художественная литература,Преступление и наказание,TRUE,"[59.929700, 30.344695]"
23:44:49,2024-01-09 00:00:00,"Невский пр., 30",9810,154,"102,82",Наличные,"500,55","397,73",Женский,20-12-1971,Путеводители,Швейцария,TRUE,"[59.935543, 30.327349]"
06:13:57,2024-01-10 00:00:00,"Московский пр., 90",1826,76,"153,75",Наличные,"512,5","358,75",Женский,19-01-1958,Научная литература,Микробиология,TRUE,"[59.924032, 30.317189]"
08:16:03,2024-01-10 00:00:00,"Ул. Декабристов, 15",2178,405,"96,26",Карта,"844,3","748,04",Женский,07-09-1982,Путеводители,Турция,TRUE,"[59.928154, 30.302429]"
21:55:23,2024-01-10 00:00:00,"Невский пр., 30",3393,102,"280,071",Карта,"933,57","653,499",Женский,17-07-1978,Комиксы,Супермен,TRUE,"[59.935543, 30.327349]"
16:44:19,2024-01-10 00:00:00,"Ул. Рубинштейна, 24",3739,66,"170,649",Наличные,"568,83","398,181",Женский,28-03-1961,Художественная литература,Отцы и дети,TRUE,"[59.929700, 30.344695]"
06:24:25,2024-01-10 00:00:00,"Гагаринская ул., 12",5088,331,"203,289",Онлайн,"677,63","474,341",Мужской,12-08-1966,Научная литература,Квантовая физика,TRUE,"[59.946153, 30.342916]"
16:11:31,2024-01-10 00:00:00,"Невский пр., 30",5142,494,"153,903",Наличные,"513,01","359,107",Женский,03-10-1977,Художественная литература,Мастер и Маргарита,TRUE,"[59.935543, 30.327349]"
07:37:51,2024-01-10 00:00:00,"Гагаринская ул., 12",6631,492,"200,589",Карта,"668,63","468,041",Женский,17-06-1997,Художественная литература,Обломов,TRUE,"[59.946153, 30.342916]"
10:14:20,2024-01-10 00:00:00,"Ул. Рубинштейна, 24",7244,334,"287,16",Наличные,"957,2","670,04",Мужской,08-06-1961,Комиксы,Доктор Стрэндж,TRUE,"[59.929700, 30.344695]"
12:04:31,2024-01-10 00:00:00,"Московский пр., 90",8666,454,"215,5",Онлайн,"735,82","520,32",Женский,30-01-1961,Художественная литература,Преступление и наказание,TRUE,"[59.924032, 30.317189]"
13:31:40,2024-01-10 00:00:00,"Ул. Рубинштейна, 24",9980,222,"113,21",Наличные,"669,63","556,42",Женский,29-03-1990,Учебники,География 6 класс,TRUE,"[59.929700, 30.344695]"
02:00:25,2024-01-11 00:00:00,"Московский пр., 90",2084,30,"165,414",Наличные,"551,38","385,966",Мужской,08-10-1984,Комиксы,Доктор Стрэндж,TRUE,"[59.924032, 30.317189]"
00:12:14,2024-01-11 00:00:00,"Невский пр., 30",5748,10,"160,24",Карта,"1154,93","994,69",Женский,27-04-1998,Художественная литература,Мастер и Маргарита,TRUE,"[59.935543, 30.327349]"
14:03:33,2024-01-11 00:00:00,"Московский пр., 90",5760,277,"64,12",Онлайн,"557,93","493,81",Мужской,07-04-1972,Комиксы,Бэтмен,TRUE,"[59.924032, 30.317189]"
10:35:46,2024-01-11 00:00:00,"Невский пр., 30",6776,101,"79,78",Онлайн,"678,51","598,73",Мужской,24-08-1958,Комиксы,Флэш,TRUE,"[59.935543, 30.327349]"
16:37:31,2024-01-11 00:00:00,"Ул. Рубинштейна, 24",7062,157,"95,72",Наличные,"957,2","861,48",Мужской,11-04-1956,Комиксы,Доктор Стрэндж,TRUE,"[59.929700, 30.344695]"
12:50:08,2024-01-12 00:00:00,"Невский пр., 30",2417,295,"121,49",Наличные,"512,1","390,61",Женский,24-05-2000,Учебники,Алгебра 7 класс,TRUE,"[59.935543, 30.327349]"
10:26:07,2024-01-12 00:00:00,"Ул. Рубинштейна, 24",5632,212,"170,295",Карта,"567,65","397,355",Женский,19-05-1995,Путеводители,Турция,TRUE,"[59.929700, 30.344695]"
11:28:53,2024-01-12 00:00:00,"Ул. Декабристов, 15",7474,103,"73,19",Наличные,"731,94","658,75",Женский,09-04-1964,Художественная литература,Лолита,TRUE,"[59.928154, 30.302429]"
21:37:10,2024-01-12 00:00:00,"Невский пр., 30",8381,153,"211,812",Карта,"706,04","494,228",Мужской,21-12-1999,Научная литература,Квантовая физика,TRUE,"[59.935543, 30.327349]"
22:55:18,2024-01-12 00:00:00,"Гагаринская ул., 12",8940,333,"188,553",Карта,"628,51","439,957",Женский,18-04-1988,Путеводители,Индонезия,TRUE,"[59.946153, 30.342916]"
10:35:27,2024-01-13 00:00:00,"Невский пр., 30",1910,312,"28,39",Онлайн,"540,71","512,32",Женский,12-04-1999,Научная литература,Экономика труда,TRUE,"[59.935543, 30.327349]"
18:30:17,2024-01-13 00:00:00,"Ул. Рубинштейна, 24",1933,336,"350,883",Онлайн,"1169,61","818,727",Женский,27-06-1979,Учебники,История России 10 класс,TRUE,"[59.929700, 30.344695]"
03:54:59,2024-01-13 00:00:00,"Ул. Декабристов, 15",7079,200,"51,08",Карта,"741,58","690,5",Женский,25-06-1977,Путеводители,Италия,TRUE,"[59.928154, 30.302429]"
12:16:13,2024-01-13 00:00:00,"Ул. Декабристов, 15",8929,360,"25,86",Наличные,"517,15","491,29",Женский,21-08-1995,Учебники,Химия 9 класс,TRUE,"[59.928154, 30.302429]"
10:34:23,2024-01-13 00:00:00,"Ул. Рубинштейна, 24",9966,41,"240,195",Карта,"800,65","560,455",Мужской,11-11-1981,Учебники,История России 10 класс,TRUE,"[59.929700, 30.344695]"
01:13:35,2024-01-14 00:00:00,"Гагаринская ул., 12",1966,8,"346,479",Наличные,"1154,93","808,451",Женский,30-08-1982,Художественная литература,Мастер и Маргарита,TRUE,"[59.946153, 30.342916]"
06:44:06,2024-01-14 00:00:00,"Невский пр., 30",3787,215,"66,96",Наличные,"688,65","621,69",Мужской,07-10-1974,Художественная литература,Мастер и Маргарита,TRUE,"[59.935543, 30.327349]"
23:30:41,2024-01-14 00:00:00,"Гагаринская ул., 12",4262,399,"98,53",Онлайн,"631,56","533,03",Женский,29-04-1991,Путеводители,Индонезия,TRUE,"[59.946153, 30.342916]"
15:53:20,2024-01-14 00:00:00,"Невский пр., 30",5571,484,"200,472",Наличные,"668,24","467,768",Мужской,28-05-1964,Путеводители,Италия,TRUE,"[59.935543, 30.327349]"
10:18:51,2024-01-14 00:00:00,"Московский пр., 90",5874,322,"195,396",Карта,"651,32","455,924",Женский,02-11-1963,Художественная литература,Лолита,TRUE,"[59.924032, 30.317189]"
12:21:21,2024-01-14 00:00:00,"Ул. Рубинштейна, 24",5950,135,"120,06",Карта,"800,43","680,37",Женский,08-09-2004,Путеводители,Мексика,TRUE,"[59.929700, 30.344695]"
19:19:28,2024-01-14 00:00:00,"Невский пр., 30",7906,70,"220,746",Онлайн,"735,82","515,074",Женский,03-09-1971,Художественная литература,Преступление и наказание,TRUE,"[59.935543, 30.327349]"
04:46:00,2024-01-14 00:00:00,"Ул. Декабристов, 15",8000,66,"173,637",Онлайн,"578,79","405,153",Женский,28-03-1961,Научная литература,Квантовая физика,TRUE,"[59.928154, 30.302429]"
05:11:35,2024-01-14 00:00:00,"Ул. Рубинштейна, 24",8614,320,"105,99",Онлайн,"1017,66","911,67",Мужской,12-12-1977,Комиксы,Флэш,TRUE,"[59.929700, 30.344695]"
17:26:18,2024-01-15 00:00:00,"Невский пр., 30",3696,301,"164,226",Наличные,"547,42","383,194",Мужской,03-11-1981,Путеводители,Турция,TRUE,"[59.935543, 30.327349]"
18:47:46,2024-01-15 00:00:00,"Ул. Декабристов, 15",3697,62,"104,34",Карта,"695,59","591,25",Мужской,01-06-1981,Художественная литература,Обломов,TRUE,"[59.928154, 30.302429]"
12:32:13,2024-01-15 00:00:00,"Ул. Рубинштейна, 24",5243,349,"40,73",Карта,"549,43","508,7",Женский,07-05-1983,Учебники,История России 10 класс,TRUE,"[59.929700, 30.344695]"
05:15:27,2024-01-15 00:00:00,"Ул. Декабристов, 15",5294,25,"170,55",Карта,"568,5","397,95",Женский,02-05-1955,Путеводители,Индонезия,TRUE,"[59.928154, 30.302429]"
20:01:38,2024-01-15 00:00:00,"Невский пр., 30",5863,368,"153,042",Наличные,"510,14","357,098",Мужской,03-07-1967,Комиксы,Доктор Стрэндж,TRUE,"[59.935543, 30.327349]"
16:30:24,2024-01-15 00:00:00,"Гагаринская ул., 12",6087,142,"115,56",Наличные,"638,34","522,78",Мужской,09-11-1980,Комиксы,Бэтмен,TRUE,"[59.946153, 30.342916]"
12:21:45,2024-01-15 00:00:00,"Невский пр., 30",6199,140,"56,35",Наличные,"637,73","581,38",Мужской,16-04-1995,Учебники,Физика 8 класс,TRUE,"[59.935543, 30.327349]"
04:13:30,2024-01-15 00:00:00,"Невский пр., 30",6648,123,"29,29",Наличные,"585,86","556,57",Женский,17-07-1992,Художественная литература,Лолита,TRUE,"[59.935543, 30.327349]"
11:20:25,2024-01-15 00:00:00,"Московский пр., 90",7921,222,"153,903",Онлайн,"513,01","359,107",Женский,29-03-1990,Художественная литература,Мастер и Маргарита,TRUE,"[59.924032, 30.317189]"
17:26:04,2024-01-15 00:00:00,"Ул. Рубинштейна, 24",8798,468,"110,7",Онлайн,"542,63","431,93",Женский,24-04-1974,Художественная литература,Отцы и дети,TRUE,"[59.929700, 30.344695]"
02:39:21,2024-01-15 00:00:00,"Московский пр., 90",9396,8,"181,03",Наличные,"750,64","569,61",Женский,30-08-1982,Художественная литература,Лолита,TRUE,"[59.924032, 30.317189]"
17:30:10,2024-01-16 00:00:00,"Ул. Рубинштейна, 24",1446,190,"156,26",Наличные,"520,87","364,61",Женский,04-11-2001,Научная литература,Экономика труда,TRUE,"[59.929700, 30.344695]"
11:53:55,2024-01-16 00:00:00,"Ул. Рубинштейна, 24",1540,241,"200,889",Наличные,"669,63","468,741",Женский,28-09-1979,Учебники,География 6 класс,TRUE,"[59.929700, 30.344695]"
05:19:17,2024-01-16 00:00:00,"Невский пр., 30",2166,102,"66,18",Карта,"549,43","483,25",Женский,17-07-1978,Учебники,История России 10 класс,TRUE,"[59.935543, 30.327349]"
01:17:38,2024-01-16 00:00:00,"Ул. Рубинштейна, 24",2513,224,"199,857",Наличные,"666,19","466,333",Женский,20-08-1979,Научная литература,Экономика труда,TRUE,"[59.929700, 30.344695]"
00:24:19,2024-01-16 00:00:00,"Ул. Рубинштейна, 24",3428,199,"25,71",Онлайн,"504,2","478,49",Мужской,09-06-1971,Учебники,Химия 9 класс,TRUE,"[59.929700, 30.344695]"
18:26:16,2024-01-16 00:00:00,"Невский пр., 30",5656,308,"126,42",Онлайн,"1043,61","917,19",Мужской,01-04-1972,Комиксы,Флэш,TRUE,"[59.935543, 30.327349]"
04:17:18,2024-01-16 00:00:00,"Гагаринская ул., 12",5868,214,"159,87",Онлайн,"532,9","373,03",Мужской,08-06-1978,Художественная литература,Преступление и наказание,TRUE,"[59.946153, 30.342916]"
12:37:50,2024-01-16 00:00:00,"Невский пр., 30",7134,492,"126,33",Онлайн,"616,93","490,6",Женский,17-06-1997,Художественная литература,Обломов,TRUE,"[59.935543, 30.327349]"
14:00:40,2024-01-16 00:00:00,"Гагаринская ул., 12",7414,487,"170,154",Онлайн,"567,18","397,026",Женский,20-07-1997,Учебники,Алгебра 7 класс,TRUE,"[59.946153, 30.342916]"
10:08:00,2024-01-16 00:00:00,"Ул. Рубинштейна, 24",8331,412,"199,857",Онлайн,"666,19","466,333",Мужской,10-03-1987,Научная литература,Экономика труда,TRUE,"[59.929700, 30.344695]"
16:23:42,2024-01-16 00:00:00,"Невский пр., 30",9179,315,"86,75",Наличные,"578,34","491,59",Мужской,30-04-1966,Путеводители,Мексика,TRUE,"[59.935543, 30.327349]"
10:10:37,2024-01-16 00:00:00,"Ул. Рубинштейна, 24",9438,274,"112,5",Наличные,"562,48","449,98",Мужской,22-10-1958,Путеводители,Италия,TRUE,"[59.929700, 30.344695]"
01:00:03,2024-01-17 00:00:00,"Невский пр., 30",3421,148,"172,92",Карта,"576,4","403,48",Мужской,29-06-1967,Учебники,История России 10 класс,TRUE,"[59.935543, 30.327349]"
02:54:00,2024-01-17 00:00:00,"Ул. Рубинштейна, 24",3708,420,"140,21",Карта,"678,51","538,3",Мужской,03-05-1966,Комиксы,Флэш,TRUE,"[59.929700, 30.344695]"
07:37:25,2024-01-17 00:00:00,"Гагаринская ул., 12",3903,52,"172,95",Наличные,"576,5","403,55",Мужской,12-01-2000,Научная литература,Микробиология,TRUE,"[59.946153, 30.342916]"
13:55:30,2024-01-17 00:00:00,"Ул. Декабристов, 15",4516,410,"211,503",Наличные,"705,01","493,507",Женский,11-11-1988,Учебники,География 6 класс,TRUE,"[59.928154, 30.302429]"
09:14:25,2024-01-17 00:00:00,"Ул. Рубинштейна, 24",5776,492,"154,476",Онлайн,"514,92","360,444",Женский,17-06-1997,Комиксы,Супермен,TRUE,"[59.929700, 30.344695]"
00:09:47,2024-01-17 00:00:00,"Московский пр., 90",7768,283,"224,514",Наличные,"748,38","523,866",Мужской,22-05-1987,Комиксы,Человек-Паук,TRUE,"[59.924032, 30.317189]"
10:47:26,2024-01-17 00:00:00,"Ул. Рубинштейна, 24",8988,499,"62,74",Онлайн,"789,88","727,14",Женский,13-01-1961,Художественная литература,Обломов,TRUE,"[59.929700, 30.344695]"
